Symbol,Series,Date,Close,Open,High,Low,Volume
HDFC,EQ,29-Jun-21,2494.95,2510,2510,2476.9,2671608
HDFC,W3,29-Jun-21,721.2,737,737,710,48000
HDFC,EQ,30-Jun-21,2501.2,2503.15,2515,2472.2,2798047
HDFC,W3,30-Jun-21,728,735,735,710.1,7800
HDFC,EQ,01-Jul-21,2475.25,2480,2491.35,2456,2189447
HDFC,W3,01-Jul-21,711.35,710,712,702,42000
HDFC,EQ,02-Jul-21,2459.4,2463,2480,2445,1951251
HDFC,W3,02-Jul-21,705,703.4,708.9,695.1,90000
HDFC,EQ,05-Jul-21,2475.7,2489.3,2496.8,2471.2,1234739
HDFC,W3,05-Jul-21,702.8,705,705,695,49800
HDFC,EQ,06-Jul-21,2494.9,2492.6,2518.9,2490.2,1428812
HDFC,W3,06-Jul-21,699.25,701,715,700,36600
HDFC,EQ,07-Jul-21,2496.4,2503.85,2545.8,2495.2,2542003
HDFC,W3,07-Jul-21,703.15,709,730.05,706,38400
HDFC,EQ,08-Jul-21,2529.2,2535,2543.85,2508,2683729
HDFC,W3,08-Jul-21,720.9,715,720,698,34800
HDFC,EQ,09-Jul-21,2512.05,2504.1,2509,2484.85,1348273
HDFC,W3,09-Jul-21,700.35,695,712,693,15600
HDFC,EQ,12-Jul-21,2496.45,2503,2511,2452.2,6818026
HDFC,W3,12-Jul-21,696.8,700,704.8,683.25,28200
HDFC,EQ,13-Jul-21,2476.95,2496,2549.95,2487.75,3716936
HDFC,W3,13-Jul-21,693.9,709,730.05,704.1,36600
HDFC,EQ,14-Jul-21,2544.9,2544,2544.9,2516,2725020
HDFC,W3,14-Jul-21,729,720,744,720,53400
HDFC,EQ,15-Jul-21,2531.1,2539,2555,2516,3272479
HDFC,W3,15-Jul-21,740.05,725.2,751.9,725.2,42000
HDFC,EQ,16-Jul-21,2540.1,2548,2558,2531.5,1568532
HDFC,W3,16-Jul-21,732.65,745,745.05,727,7200
HDFC,EQ,19-Jul-21,2536.9,2488,2497.7,2470.9,2262325
HDFC,W3,19-Jul-21,727.65,700.05,708.9,695.25,55800
HDFC,BL,20-Jul-21,1814.2,2481.65,2481.65,2481.65,172808
HDFC,EQ,20-Jul-21,2481.65,2470,2480.5,2450,1731830
HDFC,W3,20-Jul-21,698,691.15,697,690,26400
HDFC,EQ,22-Jul-21,2458.75,2470.1,2493.05,2465.5,1792789
HDFC,W3,22-Jul-21,690.4,705.5,709.7,691,28800
HDFC,EQ,23-Jul-21,2490.3,2497.8,2501.6,2470,1275979
HDFC,W3,23-Jul-21,695.4,692,700,688,16800
HDFC,EQ,26-Jul-21,2482.5,2485,2485,2460,1462225
HDFC,W3,26-Jul-21,696.95,690,690,684.95,15000
HDFC,BL,27-Jul-21,2481.65,2464.3,2464.3,2464.3,165944
HDFC,EQ,27-Jul-21,2464.3,2470.9,2474,2430,2680260
