"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFC","W3","04-Nov-2020","        415.15","        415.00","        450.00","        412.55","        440.00","        442.60","        430.43","      79200","            34090380.00","        106","      63600","         80.30"
"HDFC","EQ","05-Nov-2020","       2088.20","       2106.00","       2120.00","       2084.30","       2102.30","       2100.70","       2099.14","    4117187","          8642543842.80","     158099","    2165140","         52.59"
"HDFC","W3","05-Nov-2020","        442.60","        440.00","        452.90","        434.05","        435.00","        435.00","        442.99","      21600","             9568560.00","         35","      17400","         80.56"
"HDFC","EQ","06-Nov-2020","       2100.70","       2110.00","       2145.00","       2102.45","       2136.35","       2138.45","       2126.85","    4607710","          9799922470.40","     153460","    2123753","         46.09"
"HDFC","W3","06-Nov-2020","        435.00","        446.90","        458.00","        445.15","        445.15","        445.15","        453.39","      22200","            10065150.00","         32","      18000","         81.08"
"HDFC","EQ","09-Nov-2020","       2138.45","       2150.00","       2169.95","       2138.20","       2156.00","       2152.10","       2154.09","    3529739","          7603377837.85","     107244","    1876531","         53.16"
"HDFC","W3","09-Nov-2020","        445.15","        459.95","        489.65","        459.90","        479.00","        479.00","        477.74","      65400","            31244040.00","         67","      57600","         88.07"
"HDFC","EQ","10-Nov-2020","       2152.10","       2185.00","       2288.80","       2175.55","       2268.95","       2272.10","       2246.62","    8512622","         19124668022.30","     316631","    4697875","         55.19"
"HDFC","W3","10-Nov-2020","        479.00","        509.70","        526.90","        506.00","        526.90","        526.90","        513.88","      81600","            41932710.00","        124","      67200","         82.35"
"HDFC","EQ","11-Nov-2020","       2272.10","       2279.00","       2337.00","       2273.00","       2318.00","       2324.30","       2307.35","    7235313","         16694403655.00","     205390","    3845734","         53.15"
"HDFC","W3","11-Nov-2020","        526.90","        570.00","        576.90","        528.50","        561.00","        558.15","        558.99","     102600","            57351870.00","        161","      63600","         61.99"
"HDFC","EQ","12-Nov-2020","       2324.30","       2297.25","       2343.80","       2267.45","       2326.05","       2332.10","       2300.57","    6398213","         14719512309.40","     225111","    3447627","         53.88"
"HDFC","W3","12-Nov-2020","        558.15","        535.00","        559.90","        527.00","        553.00","        552.55","        545.76","      39600","            21612210.00","         58","      27000","         68.18"
"HDFC","EQ","13-Nov-2020","       2332.10","       2320.00","       2323.30","       2284.00","       2306.70","       2306.75","       2304.09","    3999928","          9216175813.10","     130409","    2138669","         53.47"
"HDFC","W3","13-Nov-2020","        552.55","        540.00","        540.00","        527.00","        528.00","        528.65","        529.24","      57000","            30166920.00","         63","      47400","         83.16"
"HDFC","EQ","14-Nov-2020","       2306.75","       2320.00","       2329.35","       2304.00","       2312.60","       2311.25","       2314.53","     374286","           866294320.20","      19227","      86038","         22.99"
