Date,Open,High,Low,Close,Volume
10-Nov-20,509.7,526.9,506,479,81600
11-Nov-20,2279,2337,2273,2272.1,7235313
11-Nov-20,570,576.9,528.5,526.9,102600
12-Nov-20,2297.25,2343.8,2267.45,2324.3,6398213
12-Nov-20,535,559.9,527,558.15,39600
13-Nov-20,2320,2323.3,2284,2332.1,3999928
13-Nov-20,540,540,527,552.55,57000
14-Nov-20,2320,2329.35,2304,2306.75,374286
14-Nov-20,537.95,540,535,528.65,5400
17-Nov-20,2339.9,2364.75,2307.4,2311.25,7393052
17-Nov-20,545,558.25,530,538.65,10800
18-Nov-20,2336.7,2369.4,2320.3,2349,4344487
18-Nov-20,540.05,570,540.05,555.3,16200
19-Nov-20,2336,2351.9,2311,2364.9,6936896
19-Nov-20,541.05,555,541.05,570,15000
20-Nov-20,2330,2386.55,2326.55,2324.6,5321688
20-Nov-20,540,575,540,548.1,9600
23-Nov-20,2344.2,2347.85,2230.1,2334.8,6995598
23-Nov-20,540.05,540.05,498.5,552.7,63000
24-Nov-20,2272.25,2272.25,2209.55,2250.8,4945274
24-Nov-20,509.4,518.8,500,505.8,21600
25-Nov-20,2228,2252.15,2179.3,2217.7,6150483
25-Nov-20,502,529,497.15,501.1,48600
26-Nov-20,2197.15,2245,2187.65,2191.35,5026304
26-Nov-20,525.9,525.9,515.1,518.75,13200
27-Nov-20,2240,2272.45,2202.2,2238.4,10179511
27-Nov-20,525,545,521,525,21600
01-Dec-20,2237,2324,2217.65,2256.25,7031670
01-Dec-20,550,578,541.05,542.1,27600
02-Dec-20,2300,2304,2252.5,2306.95,3191550
02-Dec-20,571,571,549,575.3,30000
03-Dec-20,2287,2289.45,2235,2276.35,4528707
03-Dec-20,559,559,539,549,13800
04-Dec-20,2253.95,2284.9,2231.6,2253.95,3245440
04-Dec-20,550,560,540,542.7,15600
07-Dec-20,2240,2309.7,2221.2,2245.9,4910736
07-Dec-20,550,577.9,550,545.35,33000
08-Dec-20,2315,2340,2292.05,2303.8,5262959
08-Dec-20,588,588,562.55,571.8,18600
09-Dec-20,2318,2334.65,2280.6,2309.75,3302661
09-Dec-20,576,576,530.55,569.5,93000
10-Dec-20,2300,2303,2267,2306.7,2545081
10-Dec-20,537.2,550,535,547.3,46200
11-Dec-20,2307,2317.7,2272,2289.1,4577813
11-Dec-20,550,550,539,543.85,25200
14-Dec-20,2306.7,2315.65,2270.55,2295.9,3160235
14-Dec-20,549.95,554,540,542.9,9000
15-Dec-20,2290.5,2357.4,2282.7,2302.65,5056502
15-Dec-20,546.5,586,540,547.2,21000
16-Dec-20,2377.95,2443.4,2365.5,2350.35,6532346
16-Dec-20,590,628,590,580.9,104400
17-Dec-20,2434.9,2509,2420.15,2424.65,7379515
17-Dec-20,634,680,634,623.2,85200
18-Dec-20,2482,2489,2431,2494.6,4189517
18-Dec-20,644,670,636,667.7,13800
21-Dec-20,2468,2478.95,2370.45,2479.4,3573982
21-Dec-20,666,675,601,667,43800
22-Dec-20,2415,2439.9,2360.5,2414.8,4832004
22-Dec-20,608,650,606,612.25,68400
23-Dec-20,2398,2419.65,2376.75,2403.65,2605828
23-Dec-20,639,645,633,646.55,13200
24-Dec-20,2417,2464.65,2411.05,2403.05,2723426
24-Dec-20,673.9,685,657,642.5,14400
28-Dec-20,2467,2485,2436.6,2455.15,2085391
28-Dec-20,695,695,669,667.85,6000
29-Dec-20,2480,2530,2480,2476.45,4490464
29-Dec-20,700,730,700,681,37800
30-Dec-20,2518.95,2525,2483,2518.95,2902423
30-Dec-20,715,715,698,716.8,11400
31-Dec-20,2518.7,2575,2504.4,2518.05,4956399
31-Dec-20,720,770,720,714.95,37800
01-Jan-21,2549,2593.3,2541.15,2558.65,2054108
01-Jan-21,759,775,747.1,752.6,30600
04-Jan-21,2576.9,2592.35,2533.15,2568.75,2795972
04-Jan-21,760,763.6,740,757.7,18600
05-Jan-21,2589,2659.45,2572.4,2578.5,5870743
05-Jan-21,761.15,812,761.15,758.05,109200
06-Jan-21,2664.7,2665,2619,2651.85,3401085
06-Jan-21,800,815,783,798.7,58800
07-Jan-21,2670,2709.35,2647.4,2638.85,4106042
07-Jan-21,817.45,830,813.95,789.1,226200
08-Jan-21,2668,2674.4,2631,2661.35,4497042
08-Jan-21,824,825,800,826.9,31200
11-Jan-21,2680,2762,2666.75,2657.5,5939812
11-Jan-21,830,863,830,815.9,105600
12-Jan-21,2738,2760,2719,2751.2,3412213
12-Jan-21,825.25,850,825.25,855.25,21600
13-Jan-21,2760.45,2777.15,2651.1,2747.55,5582165
13-Jan-21,854.5,860,780,845.65,27000
14-Jan-21,2670,2699,2647.15,2670.9,4253567
14-Jan-21,785,800,773,793,35400
15-Jan-21,2661,2688.45,2615.6,2684.05,2582955
15-Jan-21,781.25,781.25,750,794.45,9600
18-Jan-21,2645.95,2647.4,2550,2632.75,5154593
18-Jan-21,747,747,700,765,60000
19-Jan-21,2585,2680.8,2575,2566.5,3569359
19-Jan-21,749,785.95,736,714.5,39600
20-Jan-21,2666,2711.9,2622.6,2656.95,5771114
20-Jan-21,753.35,788,750,773.4,63000
21-Jan-21,2687.95,2698,2641.25,2688.15,3200138
21-Jan-21,781.75,795,755.1,773,39600
22-Jan-21,2669,2678.75,2583.05,2663,5013872
22-Jan-21,740,767.45,717.1,764.7,40200
25-Jan-21,2630.45,2670,2543,2589.45,7761405
25-Jan-21,780,784.55,676,721.5,43200
27-Jan-21,2546.3,2546.3,2458.25,2551.4,4858346
27-Jan-21,661.1,680,645,690.65,94200
28-Jan-21,2430.1,2454,2395.25,2467,5282970
28-Jan-21,622.25,674,622.25,668,70800
29-Jan-21,2450,2460,2364.6,2425.75,7347695
29-Jan-21,675,690,658.5,660.9,31200
01-Feb-21,2402.7,2602.1,2391.85,2377.8,7106502
01-Feb-21,686,731.25,675.3,664.8,113400
02-Feb-21,2625,2762.95,2612,2579.25,9253486
02-Feb-21,780,804.35,750,731.25,163800
03-Feb-21,2695,2734.5,2618,2659,4782433
03-Feb-21,755.05,825,748,762,141600
04-Feb-21,2740.4,2742,2659,2703.55,4108174
04-Feb-21,799.9,815,777,803.15,47400
05-Feb-21,2724.5,2767.8,2696.2,2707.75,4575345
